"date","total_cases","daily_cases","deaths","vaccinations","daily_vaccinations","common_cold","abdominal_pain","fatigue","fever","anosmia","spike"
2020-01-21,1,0,0,NA,NA,17.36,4.31,4.74,5.02,0.06,"FALSE"
2020-01-22,1,0,0,NA,NA,17.39,4.25,4.78,5.02,0.06,"FALSE"
2020-01-23,1,0,0,NA,NA,18.05,4.2,4.74,4.91,0.06,"FALSE"
2020-01-24,2,1,0,NA,NA,22.11,4.08,4.27,4.72,0.05,"FALSE"
2020-01-25,3,1,0,NA,NA,22.28,4.48,4.41,5.06,0.06,"FALSE"
2020-01-26,5,2,0,NA,NA,25.47,4.39,4.28,5.16,0.05,"FALSE"
2020-01-27,5,0,0,NA,NA,25.18,4.43,4.7,5.38,0.05,"FALSE"
2020-01-28,5,0,0,NA,NA,25.26,4.35,4.89,5.44,0.06,"FALSE"
2020-01-29,5,0,0,NA,NA,25.23,4.25,4.88,5.35,0.06,"FALSE"
2020-01-30,6,1,0,NA,NA,30.2,4.17,4.78,5.3,0.05,"FALSE"
2020-01-31,7,1,0,NA,NA,28.79,3.97,4.29,5,0.05,"FALSE"
2020-02-01,8,1,0,NA,NA,23.02,4.32,4.37,5.21,0.06,"FALSE"
2020-02-02,11,3,0,NA,NA,20.36,4.29,4.22,5.25,0.05,"FALSE"
2020-02-03,11,0,0,NA,NA,20.5,4.39,4.81,5.5,0.05,"FALSE"
2020-02-04,11,0,0,NA,NA,19.99,4.3,4.89,5.49,0.06,"FALSE"
2020-02-05,12,1,0,NA,NA,19.53,4.22,4.82,5.28,0.06,"FALSE"
2020-02-06,12,0,0,NA,NA,19.62,4.17,4.69,5.26,0.06,"FALSE"
2020-02-07,12,0,0,NA,NA,18.92,4.01,4.24,4.89,0.05,"FALSE"
2020-02-08,12,0,0,NA,NA,19.41,4.37,4.36,5.08,0.06,"FALSE"
2020-02-09,12,0,0,NA,NA,18.33,4.49,4.61,5.29,0.06,"FALSE"
2020-02-10,13,1,0,NA,NA,18.72,4.41,4.87,5.36,0.07,"FALSE"
2020-02-11,13,0,0,NA,NA,18.05,4.31,4.92,5.27,0.07,"FALSE"
2020-02-12,14,1,0,NA,NA,17.05,4.16,4.82,5.01,0.07,"FALSE"
2020-02-13,15,1,0,NA,NA,16.89,4.03,4.52,4.86,0.06,"FALSE"
2020-02-14,15,0,0,NA,NA,14.9,3.77,3.83,4.34,0.05,"FALSE"
2020-02-15,15,0,0,NA,NA,16.49,4.32,4.28,4.8,0.06,"FALSE"
2020-02-16,15,0,0,NA,NA,16.89,4.57,4.67,5.09,0.06,"FALSE"
2020-02-17,25,10,0,NA,NA,17.53,4.6,4.97,5.08,0.06,"FALSE"
2020-02-18,25,0,0,NA,NA,17.22,4.46,5.03,5.13,0.06,"FALSE"
2020-02-19,25,0,0,NA,NA,15.93,4.26,4.87,4.85,0.06,"FALSE"
2020-02-20,27,2,0,NA,NA,15.04,4.2,4.7,4.57,0.06,"FALSE"
2020-02-21,30,3,0,NA,NA,14.49,3.98,4.26,4.38,0.06,"FALSE"
2020-02-22,30,0,0,NA,NA,15.14,4.26,4.27,4.39,0.05,"FALSE"
2020-02-23,30,0,0,NA,NA,15.53,4.53,4.68,4.65,0.06,"FALSE"
2020-02-24,43,13,0,NA,NA,16.63,4.42,4.82,4.75,0.06,"FALSE"
2020-02-25,45,2,0,NA,NA,21.26,4.36,4.88,4.84,0.06,"FALSE"
2020-02-26,60,15,0,NA,NA,24.25,4.19,4.75,5.28,0.07,"FALSE"
2020-02-27,60,0,0,NA,NA,25.38,4.08,4.63,5.94,0.1,"FALSE"
2020-02-28,65,5,0,NA,NA,23.67,3.84,4.14,5.08,0.06,"FALSE"
2020-02-29,70,5,1,NA,NA,24.59,4.18,4.17,5.25,0.05,"FALSE"
2020-03-01,88,18,3,NA,NA,24.37,4.34,4.42,5.32,0.06,"FALSE"
2020-03-02,104,16,6,NA,NA,29.51,4.24,4.68,5.52,0.06,"FALSE"
2020-03-03,125,21,10,NA,NA,27.42,4.13,4.76,5.69,0.06,"FALSE"
2020-03-04,161,36,12,NA,NA,26.28,4.09,4.75,5.67,0.06,"FALSE"
2020-03-05,228,67,12,NA,NA,26.06,4.06,4.67,5.4,0.07,"FALSE"
2020-03-06,311,83,15,NA,NA,25.72,3.9,4.17,5.42,0.06,"FALSE"
2020-03-07,428,117,19,NA,NA,25.97,4.1,4.1,5.8,0.06,"FALSE"
2020-03-08,547,119,22,NA,NA,24.38,4.25,4.33,5.92,0.06,"FALSE"
2020-03-09,748,201,26,NA,NA,29.37,4.24,4.8,7.02,0.06,"FALSE"
2020-03-10,1018,270,31,NA,NA,30.19,4.15,4.72,7.07,0.06,"FALSE"
2020-03-11,1263,245,37,NA,NA,42.9,3.9,5,8.57,0.06,"FALSE"
2020-03-12,1668,405,43,NA,NA,52.42,3.65,4.54,10.77,0.06,"FALSE"
2020-03-13,2224,556,50,NA,NA,45.05,3.49,4.13,10.89,0.06,"FALSE"
2020-03-14,2898,674,60,NA,NA,41.49,3.85,4,13.97,0.07,"FALSE"
2020-03-15,3600,702,68,NA,NA,40.27,3.78,3.84,14.69,0.08,"FALSE"
2020-03-16,4507,907,91,NA,NA,40.66,3.53,3.73,16.13,0.08,"FALSE"
2020-03-17,5906,1399,117,NA,NA,37.68,3.47,3.81,15.75,0.11,"FALSE"
2020-03-18,8350,2444,162,NA,NA,35.9,3.42,3.91,20.43,0.13,"FALSE"
2020-03-19,12393,4043,212,NA,NA,34.59,3.43,3.64,16.44,0.14,"FALSE"
2020-03-20,18012,5619,277,NA,NA,31.98,3.38,3.47,13.44,0.16,"FALSE"
2020-03-21,24528,6516,360,NA,NA,30.8,3.67,3.52,12.22,0.29,"FALSE"
2020-03-22,33073,8545,458,NA,NA,29.38,3.72,3.64,11.88,0.75,"FALSE"
2020-03-23,43505,10432,579,NA,NA,29.22,3.61,3.75,13.13,1.39,"FALSE"
2020-03-24,53938,10433,785,NA,NA,26.86,3.67,3.83,11.24,0.85,"FALSE"
2020-03-25,68572,14634,1054,NA,NA,27.57,3.68,3.82,10.63,0.65,"FALSE"
2020-03-26,85570,16998,1353,NA,NA,26.89,3.73,3.82,10.2,0.54,"FALSE"
2020-03-27,102900,17330,1770,NA,NA,25.84,3.59,3.72,9.98,0.49,"FALSE"
2020-03-28,123966,21066,2300,NA,NA,25.8,3.85,3.71,9.98,0.6,"FALSE"
2020-03-29,142486,18520,2718,NA,NA,23.85,3.87,3.72,8.24,0.47,"FALSE"
2020-03-30,163955,21469,3368,NA,NA,23.3,3.73,3.8,9.13,0.42,"FALSE"
2020-03-31,188461,24506,4304,NA,NA,23.25,3.69,3.87,8.79,0.39,"FALSE"
2020-04-01,215391,26930,5325,NA,NA,22.22,3.64,3.96,9.09,0.38,"FALSE"
2020-04-02,245108,29717,6541,NA,NA,21.61,3.65,4.44,9.21,0.33,"FALSE"
2020-04-03,277426,32318,7932,NA,NA,20.84,3.48,3.59,7.95,0.89,"FALSE"
2020-04-04,312525,35099,9488,NA,NA,19.97,3.78,3.64,7.38,0.32,"FALSE"
2020-04-05,338141,25616,10856,NA,NA,19.11,3.91,3.71,7.21,0.32,"FALSE"
2020-04-06,369057,30916,12382,NA,NA,18.58,3.76,3.82,7.8,0.3,"FALSE"
2020-04-07,399394,30337,14616,NA,NA,16.64,3.69,3.86,7.21,0.27,"FALSE"
2020-04-08,431214,31820,16701,NA,NA,15.48,3.66,3.8,6.73,0.25,"FALSE"
2020-04-09,465913,34699,18821,NA,NA,14.51,3.68,3.73,6.13,0.23,"FALSE"
2020-04-10,499386,33473,21084,NA,NA,13.77,3.65,3.57,5.66,0.21,"FALSE"
